Published Paper,GPTZero Scan,Example of Verified Hallucination,Comment
SimWorld: An Open-ended Simulator for Agents in Physical and Social Worlds,"Sources

AI","John Doe and Jane Smith. Webvoyager: Building an end-to-end web agent with large multimodal models. arXiv preprint arXiv:2401.00001, 2024.",Article with a matching title exists here. Authors are obviously fabricated. arXiv ID links to a different article.
Unmasking Puppeteers: Leveraging Biometric Leakage to Expose Impersonation in AI-Based Videoconferencing ,"Sources

AI*","John Smith and Jane Doe. Deep learning techniques for avatar-based interaction in virtual environments. IEEE Transactions on Neural Networks and Learning Systems, 32(12):5600-5612, 2021. doi: 10.1109/ TNNLS.2021.3071234. URL https://ieeexplore.ieee.org/document/307123",No author or title match. Doesn't exist in publication. URL and DOI are fake.
Unmasking Puppeteers: Leveraging Biometric Leakage to Expose Impersonation in AI-Based Videoconferencing ,"Sources

AI*","Min-Jun Lee and Soo-Young Kim. Generative adversarial networks for hyper-realistic avatar creation. In Proceedings of the IEEE/CVF Conference on Computer Vision and Pattern Recognition (CVPR), pages 1234-1243, 2022. doi: 10.1109/CVPR.2022.001234. URL https://ieeexplore.ieee.org/ document/00123",No author or title match. Doesn't exist in publication. URL and DOI are fake.
SimWorld-Robotics: Synthesizing Photorealistic and Dynamic Urban Environments for Multimodal Robot Navigation and Collaboration,"Sources

AI*","Firstname Lastname and Others. Drivlme: A large-scale multi-agent driving benchmark, 2023. URL or arXiv ID to be updated.","No title or author match. Potentially referring to this article, but year is off (2024)"
SimWorld-Robotics: Synthesizing Photorealistic and Dynamic Urban Environments for Multimodal Robot Navigation and Collaboration,"Sources

AI*","Firstname Lastname and Others. Robotslang: Grounded natural language for multi-robot object search, 2024. To appear.","No title or author match. Potentially referring to this article, but year is totally off (2020)."
Efficient semantic uncertainty quantification in language models via diversity-steered sampling ,"Sources

AI","Nuo Lou and et al. Dsp: Diffusion-based span prediction for masked text modeling. arXiv preprint arXiv:2305.XXXX, 2023.",No title or author match and arXiv ID is incomplete.
Efficient semantic uncertainty quantification in language models via diversity-steered sampling ,"Sources

AI","A. Sahoo and et al. inatk: Iterative noise aware text denoising. arXiv preprint arXiv:2402.XXXX, 2024.",No title or author match and arXiv ID is incomplete.
Efficient semantic uncertainty quantification in language models via diversity-steered sampling ,"Sources

AI","Sheng Shi and et al. Maskgpt: Uniform denoising diffusion for language. arXiv preprint arXiv:2401.XXXX, 2024.",No title or author match and arXiv ID is incomplete.
Efficient semantic uncertainty quantification in language models via diversity-steered sampling ,"Sources

AI","Asma Issa, George Mohler, and John Johnson. Paraphrase identification using deep contextualized representations. In Proceedings of the 2018 Conference on Empirical Methods in Natural Language Processing (EMNLP), pp. 517-526, 2018.",No author or title match. No match in publication.
Efficient semantic uncertainty quantification in language models via diversity-steered sampling ,"Sources

AI","Yi Tay, Kelvin Fu, Kai Wu, Ivan Casanueva, Jianfeng Liu, Byron Wallace, Shuohang Wang, Bajrang Singh, and Julian McAuley. Reasoning with heterogeneous graph representations for knowledge-aware question answering. In Findings of the Association for Computational Linguistics: ACL 2021, pp. 3497-3506, 2021.","No exact author or title match, although this title is close. No match in the publication."
Efficient semantic uncertainty quantification in language models via diversity-steered sampling ,"Sources

AI","Alex Wang, Rishi Bommasani, Dan Hendrycks, Daniel Song, and Zhilin Zhang. Efficient fewshot learning with efl: A single transformer for all tasks. In arXiv preprint arXiv:2107.13586, 2021.",No title or author match. ArXiv ID leads to a different article.
Efficient semantic uncertainty quantification in language models via diversity-steered sampling ,"Sources

AI","Lei Yu, Jimmy Dumsmyr, and Kevin Knight. Deep paraphrase identification. In Proceedings of the 2014 Conference on Empirical Methods in Natural Language Processing (EMNLP), pp. $650-655,2014$.",No title or author match. No match in publication
Efficient semantic uncertainty quantification in language models via diversity-steered sampling ,"Sources

AI","X. Ou and et al. Tuqdm: Token unmasking with quantized diffusion models. In ACL, 2024.",No title or author match.
Efficient semantic uncertainty quantification in language models via diversity-steered sampling ,"Sources

AI","Franz Aichberger, Lily Chen, and John Smith. Semantically diverse language generation. In International Conference on Learning Representations (ICLR), 2025.",No title or author match. Some similarity to this article. No match in 2025 ICLR submissions.
Efficient semantic uncertainty quantification in language models via diversity-steered sampling ,"Sources

AI","Maria Glushkova, Shiori Kobayashi, and Junichi Suzuki. Uncertainty estimation in neural text regression. In Findings of the Association for Computational Linguistics: EMNLP 2021, pp. $4567-4576,2021$.",No author or title match. No match in publication.
Efficient semantic uncertainty quantification in language models via diversity-steered sampling ,"Sources

AI","Yichao Wang, Bowen Zhou, Adam Lopez, and Benjamin Snyder. Uncertainty quantification in abstractive summarization. In Proceedings of the 60th Annual Meeting of the Association for Computational Linguistics (ACL), pp. 1234-1245, 2022.",No author or title match.
Efficient semantic uncertainty quantification in language models via diversity-steered sampling ,"Sources

AI","Mohit Jain, Ethan Perez, and James Glass. Learning to predict confidence for language models. In Proceedings of the 2021 Conference on Empirical Methods in Natural Language Processing (EMNLP), pp. 245-256, 2021.",No author or title match. No match in publication
Efficient semantic uncertainty quantification in language models via diversity-steered sampling ,"Sources

AI","Srinivasan Kadavath, Urvashi Khandelwal, Alec Radford, and Noam Shazeer. Answer me this: Self-verifying large language models. In arXiv preprint arXiv:2205.05407, 2022.",No author or title match. ArXiv ID leads to a different article.
Privacy Reasoning in Ambiguous Contexts," Sources

AI
","Zayne Sprague, Xi Ye, Kyle Richardson, and Greg Durrett. MuSR: Testing the limits of chain-of-thought with multistep soft reasoning. In EMNLP, 2023.",Two authors are omitted and one (Kyle Richardson) is added. This paper was published at ICLR 2024.
Memory-Augmented Potential Field Theory: A Framework for Adaptive Control in Non-Convex Domains,"Sources

AI**","Mario Paolone, Trevor Gaunt, Xavier Guillaud, Marco Liserre, Sakis Meliopoulos, Antonello Monti, Thierry Van Cutsem, Vijay Vittal, and Costas Vournas. A benchmark model for power system stability controls. IEEE Transactions on Power Systems, 35(5):3627-3635, 2020.","The authors match this paper, but the title, publisher, volume, issue, and page numbers are incorrect. Year (2020) is correct."
Memory-Augmented Potential Field Theory: A Framework for Adaptive Control in Non-Convex Domains,"Sources

AI**","Mingliang Han, Bingni W Wei, Phelan Senatus, Jörg D Winkel, Mason Youngblood, I-Han Lee, and David J Mandell. Deep koopman operator: A model-free approach to nonlinear dynamical systems. Chaos: An Interdisciplinary Journal of Nonlinear Science, 30(12):123135, 2020.",No title or author match. Journal and other identifiers match this article.
Adaptive Quantization in Generative Flow Networks for Probabilistic Sequential Prediction,"Sources

AI","Francisco Ramalho, Meng Liu, Zihan Liu, and Etienne Mathieu. Towards gflownets for continuous control. arXiv preprint arXiv:2310.18664, 2023.",No author or title match. ArXiv ID matches this paper.
Grounded Reinforcement Learning for Visual Reasoning,"Sources

AI*","Arjun Gupta, Xi Victoria Lin, Chunyuan Zhang, Michel Galley, Jianfeng Gao, and Carlos Guestrin Ferrer. Robust compositional visual reasoning via language-guided neural module networks. In Advances in Neural Information Processing Systems (NeurIPS), 2021.",No title or author match. This paper has a similar title and matches publication.
MTRec: Learning to Align with User Preferences via Mental Reward Models,"Sources

AI","Diederik P. Kingma and Jimmy Ba. Deepfm: a factorization-machine based neural network for ctr prediction. In International Conference on Learning Representations, 2015.","Title matches this paper. Authors, date, and publisher match this paper."
Redefining Experts: Interpretable Decomposition of Language Models for Toxicity Mitigation,"Sources

AI*","Weijia Xu, Xing Niu, and Marine Carpuat. Controlling toxicity in neural machine translation. In Proceedings of the 2020 Conference on Empirical Methods in Natural Language Processing (EMNLP), pages 4245-4256, 2020.","Authors, publisher and date match this paper. Title and page numbers don't match."
Redefining Experts: Interpretable Decomposition of Language Models for Toxicity Mitigation,"Sources

AI*","Xiang Zhang, Xuehai Wei, Xian Zhang, and Xue Zhang. Adversarial attacks and defenses in toxicity detection: A survey. In Proceedings of the 2020 International Joint Conference on Neural Networks (IJCNN), pages 1-8. IEEE, 2020.",No author or title match. Doesn't exist in publication.
Self-supervised Learning of Echocardiographic Video Representations via Online Cluster Distillation,"Sources

AI*","Fenglin Ding, Debesh Jha, Maria Härgestam, Pål Halvorsen, Michael A Riegler, Dag Johansen, Ronny Hänsch, and Håvard Stensland. Vits: Vision transformer for video self-supervised pretraining of surgical phase recognition. In International Conference on Medical Image Computing and Computer-Assisted Intervention, pages 293-302. Springer, 2022.","No title or author match. Proceedings from this conference are split into volumes, but the citation doesn't have a volume number."
PANTHER: Generative Pretraining Beyond Language for Sequential User Behavior Modeling,"Sources

AI*","Humberto Acevedo-Viloria, Juan Martinez, and Maria Garcia. Relational graph convolutional networks for financial fraud detection. IEEE Transactions on Knowledge and Data Engineering, 33(7):1357-1370, 2021. doi: 10.1109/TKDE.2020.3007655.",No author or title match. Doesn't exist in the cited publication.
PANTHER: Generative Pretraining Beyond Language for Sequential User Behavior Modeling,"Sources

AI*","Majid Zolghadr, Mohsen Jamali, and Jiawei Zhang. Diffurecsys: Diffusion-based generative modeling for sequential recommendation. Proceedings of the ACM Web Conference (WWW), pages 2156-2165, 2024. doi: 10.1145/3545678.3557899.",No author or title match. DOI doesn't exist.
LiteReality: Graphic-Ready 3D Scene Reconstruction from RGB-D Scans,"Sources

AI","Bernd Kerbl, Thomas Müller, and Paolo Favaro. Efficient 3d gaussian splatting for real-time neural rendering. In CVPR, 2022. 2, 3","Loosely matches this article, but only one author and part of the title actually match."
LiteReality: Graphic-Ready 3D Scene Reconstruction from RGB-D Scans,"Sources

AI","Punchana Khungurn, Edward H. Adelson, Julie Dorsey, and Holly Rushmeier. Matching real-world material appearance. TPAMI, 2015. 6",No clear match. Two authors and the subject match this article.
