tool,thr,DR,FPR,F1,MCC
claude_opus_4_7,0.02,1.0,1.0,0.7026,0.0
claude_opus_4_7,0.04,0.9967,0.9084,0.7208,0.2151
claude_opus_4_7,0.06,0.929,0.2885,0.855,0.6631
claude_opus_4_7,0.08,0.9274,0.2827,0.8561,0.6661
claude_opus_4_7,0.1,0.9158,0.1657,0.8909,0.7554
claude_opus_4_7,0.12,0.9158,0.1657,0.8909,0.7554
claude_opus_4_7,0.14,0.9158,0.1657,0.8909,0.7554
claude_opus_4_7,0.16,0.9109,0.1618,0.8896,0.7534
claude_opus_4_7,0.18,0.9109,0.1618,0.8896,0.7534
claude_opus_4_7,0.2,0.9109,0.1618,0.8896,0.7534
claude_opus_4_7,0.22,0.9092,0.1618,0.8887,0.7516
claude_opus_4_7,0.24,0.9092,0.1618,0.8887,0.7516
claude_opus_4_7,0.26,0.9092,0.1618,0.8887,0.7516
claude_opus_4_7,0.28,0.9092,0.1618,0.8887,0.7516
claude_opus_4_7,0.3,0.9092,0.1618,0.8887,0.7516
claude_opus_4_7,0.32,0.9092,0.1618,0.8887,0.7516
claude_opus_4_7,0.34,0.9092,0.1618,0.8887,0.7516
claude_opus_4_7,0.36,0.9092,0.1618,0.8887,0.7516
claude_opus_4_7,0.38,0.9092,0.1618,0.8887,0.7516
claude_opus_4_7,0.4,0.9092,0.1618,0.8887,0.7516
claude_opus_4_7,0.42,0.9092,0.1618,0.8887,0.7516
claude_opus_4_7,0.44,0.9092,0.1618,0.8887,0.7516
claude_opus_4_7,0.46,0.9092,0.1618,0.8887,0.7516
claude_opus_4_7,0.48,0.9092,0.1618,0.8887,0.7516
claude_opus_4_7,0.5,0.9092,0.1618,0.8887,0.7516
claude_opus_4_7,0.52,0.9092,0.1618,0.8887,0.7516
claude_opus_4_7,0.54,0.9092,0.1618,0.8887,0.7516
claude_opus_4_7,0.56,0.9092,0.1618,0.8887,0.7516
claude_opus_4_7,0.58,0.9092,0.1618,0.8887,0.7516
claude_opus_4_7,0.6,0.9092,0.1618,0.8887,0.7516
claude_opus_4_7,0.62,0.9092,0.1618,0.8887,0.7516
claude_opus_4_7,0.64,0.9092,0.1618,0.8887,0.7516
claude_opus_4_7,0.66,0.9092,0.1618,0.8887,0.7516
claude_opus_4_7,0.68,0.9092,0.1618,0.8887,0.7516
claude_opus_4_7,0.7,0.9092,0.1618,0.8887,0.7516
claude_opus_4_7,0.72,0.9076,0.1618,0.8878,0.7497
claude_opus_4_7,0.74,0.9076,0.1618,0.8878,0.7497
claude_opus_4_7,0.76,0.9043,0.1598,0.8867,0.7478
claude_opus_4_7,0.78,0.9043,0.1598,0.8867,0.7478
claude_opus_4_7,0.8,0.9043,0.1598,0.8867,0.7478
claude_opus_4_7,0.82,0.8812,0.1423,0.8805,0.739
claude_opus_4_7,0.84,0.8812,0.1423,0.8805,0.739
claude_opus_4_7,0.86,0.7624,0.0741,0.8354,0.6898
claude_opus_4_7,0.88,0.7624,0.0741,0.8354,0.6898
claude_opus_4_7,0.9,0.7624,0.0741,0.8354,0.6898
claude_opus_4_7,0.92,0.3911,0.0429,0.548,0.4114
claude_opus_4_7,0.94,0.3911,0.0429,0.548,0.4114
claude_opus_4_7,0.96,0.0413,0.0019,0.0791,0.13
claude_opus_4_7,0.98,0.0264,0.0,0.0514,0.1108
claude_sonnet_4_6,0.02,1.0,1.0,0.7029,0.0
claude_sonnet_4_6,0.04,1.0,0.998,0.7033,0.0328
claude_sonnet_4_6,0.06,0.995,0.9423,0.7128,0.1558
claude_sonnet_4_6,0.08,0.995,0.8469,0.734,0.2838
claude_sonnet_4_6,0.1,0.9933,0.7833,0.7481,0.3443
claude_sonnet_4_6,0.12,0.9933,0.7833,0.7481,0.3443
claude_sonnet_4_6,0.14,0.9899,0.6441,0.7812,0.4603
claude_sonnet_4_6,0.16,0.9765,0.4811,0.8195,0.5696
claude_sonnet_4_6,0.18,0.9765,0.4811,0.8195,0.5696
claude_sonnet_4_6,0.2,0.9462,0.3062,0.8582,0.6699
claude_sonnet_4_6,0.22,0.9378,0.2326,0.8787,0.722
claude_sonnet_4_6,0.24,0.9378,0.2326,0.8787,0.722
claude_sonnet_4_6,0.26,0.9361,0.2207,0.882,0.7303
claude_sonnet_4_6,0.28,0.9361,0.2207,0.882,0.7303
claude_sonnet_4_6,0.3,0.921,0.171,0.8918,0.7565
claude_sonnet_4_6,0.32,0.921,0.171,0.8918,0.7565
claude_sonnet_4_6,0.34,0.921,0.171,0.8918,0.7565
claude_sonnet_4_6,0.36,0.9193,0.165,0.8931,0.76
claude_sonnet_4_6,0.38,0.9193,0.165,0.8931,0.76
claude_sonnet_4_6,0.4,0.916,0.165,0.8913,0.7562
claude_sonnet_4_6,0.42,0.916,0.165,0.8913,0.7562
claude_sonnet_4_6,0.44,0.916,0.165,0.8913,0.7562
claude_sonnet_4_6,0.46,0.916,0.165,0.8913,0.7562
claude_sonnet_4_6,0.48,0.916,0.165,0.8913,0.7562
claude_sonnet_4_6,0.5,0.916,0.165,0.8913,0.7562
claude_sonnet_4_6,0.52,0.916,0.165,0.8913,0.7562
claude_sonnet_4_6,0.54,0.916,0.165,0.8913,0.7562
claude_sonnet_4_6,0.56,0.916,0.165,0.8913,0.7562
claude_sonnet_4_6,0.58,0.916,0.165,0.8913,0.7562
claude_sonnet_4_6,0.6,0.916,0.165,0.8913,0.7562
claude_sonnet_4_6,0.62,0.9092,0.1511,0.8927,0.7613
claude_sonnet_4_6,0.64,0.9025,0.1491,0.8898,0.7558
claude_sonnet_4_6,0.66,0.8756,0.1252,0.8838,0.7493
claude_sonnet_4_6,0.68,0.8756,0.1252,0.8838,0.7493
claude_sonnet_4_6,0.7,0.8756,0.1252,0.8838,0.7493
claude_sonnet_4_6,0.72,0.8756,0.1213,0.8853,0.7531
claude_sonnet_4_6,0.74,0.8487,0.0895,0.8821,0.7566
claude_sonnet_4_6,0.76,0.8185,0.0795,0.8681,0.737
claude_sonnet_4_6,0.78,0.8185,0.0795,0.8681,0.737
claude_sonnet_4_6,0.8,0.7899,0.0775,0.8514,0.7118
claude_sonnet_4_6,0.82,0.7815,0.0775,0.8462,0.7039
claude_sonnet_4_6,0.84,0.684,0.0676,0.7857,0.6265
claude_sonnet_4_6,0.86,0.5429,0.0318,0.6916,0.5512
claude_sonnet_4_6,0.88,0.5429,0.0318,0.6916,0.5512
claude_sonnet_4_6,0.9,0.3782,0.0258,0.5402,0.426
claude_sonnet_4_6,0.92,0.3597,0.0239,0.5213,0.4138
claude_sonnet_4_6,0.94,0.1244,0.008,0.2199,0.2258
claude_sonnet_4_6,0.96,0.0185,0.0,0.0363,0.0925
claude_sonnet_4_6,0.98,0.0017,0.0,0.0034,0.0278
deepseek_r1,0.02,1.0,0.996,0.7025,0.0463
deepseek_r1,0.04,0.9983,0.9684,0.7076,0.121
deepseek_r1,0.06,0.9193,0.6957,0.7323,0.288
deepseek_r1,0.08,0.9193,0.6957,0.7323,0.288
deepseek_r1,0.1,0.9076,0.664,0.7342,0.301
deepseek_r1,0.12,0.9076,0.664,0.7342,0.301
deepseek_r1,0.14,0.9076,0.664,0.7342,0.301
deepseek_r1,0.16,0.8958,0.6304,0.7367,0.3161
