tool,split,detection_rate,false_positive_rate,prevalence,precision,flags_per_true_finding
bibtexupdater_test_public,test_public,0.8767,0.1154,0.0010,0.0075,132.5
bibtexupdater_test_public,test_public,0.8767,0.1154,0.0050,0.0368,27.2
bibtexupdater_test_public,test_public,0.8767,0.1154,0.0100,0.0713,14.0
bibtexupdater_test_public,test_public,0.8767,0.1154,0.0500,0.2857,3.5
bibtexupdater_test_public,test_public,0.8767,0.1154,0.2000,0.6551,1.5
bibtexupdater_test_public,test_public,0.8767,0.1154,0.6250,0.9268,1.1
cascade_db_diagnosis_aggressive_test_public,test_public,0.9923,0.1603,0.0010,0.0062,162.3
cascade_db_diagnosis_aggressive_test_public,test_public,0.9923,0.1603,0.0050,0.0302,33.1
cascade_db_diagnosis_aggressive_test_public,test_public,0.9923,0.1603,0.0100,0.0589,17.0
cascade_db_diagnosis_aggressive_test_public,test_public,0.9923,0.1603,0.0500,0.2458,4.1
cascade_db_diagnosis_aggressive_test_public,test_public,0.9923,0.1603,0.2000,0.6075,1.6
cascade_db_diagnosis_aggressive_test_public,test_public,0.9923,0.1603,0.6250,0.9117,1.1
cascade_db_diagnosis_evalmode_aggressive_test_public,test_public,0.9923,0.1603,0.0010,0.0062,162.3
cascade_db_diagnosis_evalmode_aggressive_test_public,test_public,0.9923,0.1603,0.0050,0.0302,33.1
cascade_db_diagnosis_evalmode_aggressive_test_public,test_public,0.9923,0.1603,0.0100,0.0589,17.0
cascade_db_diagnosis_evalmode_aggressive_test_public,test_public,0.9923,0.1603,0.0500,0.2458,4.1
cascade_db_diagnosis_evalmode_aggressive_test_public,test_public,0.9923,0.1603,0.2000,0.6075,1.6
cascade_db_diagnosis_evalmode_aggressive_test_public,test_public,0.9923,0.1603,0.6250,0.9117,1.1
cascade_db_diagnosis_test_public,test_public,0.9904,0.1119,0.0010,0.0088,113.8
cascade_db_diagnosis_test_public,test_public,0.9904,0.1119,0.0050,0.0426,23.5
cascade_db_diagnosis_test_public,test_public,0.9904,0.1119,0.0100,0.0821,12.2
cascade_db_diagnosis_test_public,test_public,0.9904,0.1119,0.0500,0.3179,3.1
cascade_db_diagnosis_test_public,test_public,0.9904,0.1119,0.2000,0.6888,1.5
cascade_db_diagnosis_test_public,test_public,0.9904,0.1119,0.6250,0.9365,1.1
doi_only_test_public,test_public,0.1908,0.0417,0.0010,0.0046,219.2
doi_only_test_public,test_public,0.1908,0.0417,0.0050,0.0225,44.5
doi_only_test_public,test_public,0.1908,0.0417,0.0100,0.0442,22.6
doi_only_test_public,test_public,0.1908,0.0417,0.0500,0.1942,5.2
doi_only_test_public,test_public,0.1908,0.0417,0.2000,0.5337,1.9
doi_only_test_public,test_public,0.1908,0.0417,0.6250,0.8841,1.1
llm_agentic_btu_openai_test_public,test_public,0.9595,0.3558,0.0010,0.0027,371.4
llm_agentic_btu_openai_test_public,test_public,0.9595,0.3558,0.0050,0.0134,74.8
llm_agentic_btu_openai_test_public,test_public,0.9595,0.3558,0.0100,0.0265,37.7
llm_agentic_btu_openai_test_public,test_public,0.9595,0.3558,0.0500,0.1243,8.0
llm_agentic_btu_openai_test_public,test_public,0.9595,0.3558,0.2000,0.4027,2.5
llm_agentic_btu_openai_test_public,test_public,0.9595,0.3558,0.6250,0.8180,1.2
llm_agentic_btu_sonnet_4_6_test_public,test_public,0.9904,0.3429,0.0010,0.0029,346.9
llm_agentic_btu_sonnet_4_6_test_public,test_public,0.9904,0.3429,0.0050,0.0143,69.9
llm_agentic_btu_sonnet_4_6_test_public,test_public,0.9904,0.3429,0.0100,0.0283,35.3
llm_agentic_btu_sonnet_4_6_test_public,test_public,0.9904,0.3429,0.0500,0.1319,7.6
llm_agentic_btu_sonnet_4_6_test_public,test_public,0.9904,0.3429,0.2000,0.4193,2.4
llm_agentic_btu_sonnet_4_6_test_public,test_public,0.9904,0.3429,0.6250,0.8280,1.2
llm_agentic_openai_test_public,test_public,0.9422,0.5577,0.0010,0.0017,592.3
llm_agentic_openai_test_public,test_public,0.9422,0.5577,0.0050,0.0084,118.8
llm_agentic_openai_test_public,test_public,0.9422,0.5577,0.0100,0.0168,59.6
llm_agentic_openai_test_public,test_public,0.9422,0.5577,0.0500,0.0817,12.2
llm_agentic_openai_test_public,test_public,0.9422,0.5577,0.2000,0.2969,3.4
llm_agentic_openai_test_public,test_public,0.9422,0.5577,0.6250,0.7379,1.4
llm_openai_gpt54_test_public,test_public,0.7803,0.2244,0.0010,0.0035,288.2
llm_openai_gpt54_test_public,test_public,0.7803,0.2244,0.0050,0.0172,58.2
llm_openai_gpt54_test_public,test_public,0.7803,0.2244,0.0100,0.0339,29.5
llm_openai_gpt54_test_public,test_public,0.7803,0.2244,0.0500,0.1547,6.5
llm_openai_gpt54_test_public,test_public,0.7803,0.2244,0.2000,0.4651,2.2
llm_openai_gpt54_test_public,test_public,0.7803,0.2244,0.6250,0.8529,1.2
llm_openai_test_public,test_public,0.8516,0.4808,0.0010,0.0018,565.0
llm_openai_test_public,test_public,0.8516,0.4808,0.0050,0.0088,113.3
llm_openai_test_public,test_public,0.8516,0.4808,0.0100,0.0176,56.9
llm_openai_test_public,test_public,0.8516,0.4808,0.0500,0.0853,11.7
llm_openai_test_public,test_public,0.8516,0.4808,0.2000,0.3069,3.3
llm_openai_test_public,test_public,0.8516,0.4808,0.6250,0.7470,1.3
llm_openrouter_claude_opus_4_7_test_public,test_public,0.7625,0.0673,0.0010,0.0112,89.2
llm_openrouter_claude_opus_4_7_test_public,test_public,0.7625,0.0673,0.0050,0.0539,18.6
llm_openrouter_claude_opus_4_7_test_public,test_public,0.7625,0.0673,0.0100,0.1027,9.7
llm_openrouter_claude_opus_4_7_test_public,test_public,0.7625,0.0673,0.0500,0.3735,2.7
llm_openrouter_claude_opus_4_7_test_public,test_public,0.7625,0.0673,0.2000,0.7391,1.4
llm_openrouter_claude_opus_4_7_test_public,test_public,0.7625,0.0673,0.6250,0.9497,1.1
llm_openrouter_claude_sonnet_4_6_test_public,test_public,0.8208,0.1250,0.0010,0.0065,153.1
llm_openrouter_claude_sonnet_4_6_test_public,test_public,0.8208,0.1250,0.0050,0.0319,31.3
llm_openrouter_claude_sonnet_4_6_test_public,test_public,0.8208,0.1250,0.0100,0.0622,16.1
llm_openrouter_claude_sonnet_4_6_test_public,test_public,0.8208,0.1250,0.0500,0.2568,3.9
llm_openrouter_claude_sonnet_4_6_test_public,test_public,0.8208,0.1250,0.2000,0.6214,1.6
llm_openrouter_claude_sonnet_4_6_test_public,test_public,0.8208,0.1250,0.6250,0.9163,1.1
llm_openrouter_deepseek_r1_test_public,test_public,0.8087,0.3193,0.0010,0.0025,395.5
llm_openrouter_deepseek_r1_test_public,test_public,0.8087,0.3193,0.0050,0.0126,79.6
llm_openrouter_deepseek_r1_test_public,test_public,0.8087,0.3193,0.0100,0.0249,40.1
llm_openrouter_deepseek_r1_test_public,test_public,0.8087,0.3193,0.0500,0.1176,8.5
llm_openrouter_deepseek_r1_test_public,test_public,0.8087,0.3193,0.2000,0.3877,2.6
llm_openrouter_deepseek_r1_test_public,test_public,0.8087,0.3193,0.6250,0.8085,1.2
llm_openrouter_deepseek_v3_test_public,test_public,0.9114,0.7276,0.0010,0.0013,798.5
llm_openrouter_deepseek_v3_test_public,test_public,0.9114,0.7276,0.0050,0.0063,159.9
llm_openrouter_deepseek_v3_test_public,test_public,0.9114,0.7276,0.0100,0.0125,80.0
llm_openrouter_deepseek_v3_test_public,test_public,0.9114,0.7276,0.0500,0.0619,16.2
llm_openrouter_deepseek_v3_test_public,test_public,0.9114,0.7276,0.2000,0.2385,4.2
llm_openrouter_deepseek_v3_test_public,test_public,0.9114,0.7276,0.6250,0.6761,1.5
llm_openrouter_gemini_flash_test_public,test_public,0.5048,0.1058,0.0010,0.0048,210.3
llm_openrouter_gemini_flash_test_public,test_public,0.5048,0.1058,0.0050,0.0234,42.7
llm_openrouter_gemini_flash_test_public,test_public,0.5048,0.1058,0.0100,0.0460,21.7
llm_openrouter_gemini_flash_test_public,test_public,0.5048,0.1058,0.0500,0.2008,5.0
llm_openrouter_gemini_flash_test_public,test_public,0.5048,0.1058,0.2000,0.5440,1.8
llm_openrouter_gemini_flash_test_public,test_public,0.5048,0.1058,0.6250,0.8883,1.1
llm_openrouter_gemini_pro_test_public,test_public,0.4582,0.0592,0.0010,0.0077,130.1
llm_openrouter_gemini_pro_test_public,test_public,0.4582,0.0592,0.0050,0.0374,26.7
llm_openrouter_gemini_pro_test_public,test_public,0.4582,0.0592,0.0100,0.0725,13.8
llm_openrouter_gemini_pro_test_public,test_public,0.4582,0.0592,0.0500,0.2894,3.5
llm_openrouter_gemini_pro_test_public,test_public,0.4582,0.0592,0.2000,0.6592,1.5
llm_openrouter_gemini_pro_test_public,test_public,0.4582,0.0592,0.6250,0.9280,1.1
llm_openrouter_llama_4_maverick_test_public,test_public,0.6313,0.1667,0.0010,0.0038,264.8
llm_openrouter_llama_4_maverick_test_public,test_public,0.6313,0.1667,0.0050,0.0187,53.5
llm_openrouter_llama_4_maverick_test_public,test_public,0.6313,0.1667,0.0100,0.0368,27.1
llm_openrouter_llama_4_maverick_test_public,test_public,0.6313,0.1667,0.0500,0.1662,6.0
llm_openrouter_llama_4_maverick_test_public,test_public,0.6313,0.1667,0.2000,0.4864,2.1
llm_openrouter_llama_4_maverick_test_public,test_public,0.6313,0.1667,0.6250,0.8633,1.2
llm_openrouter_mistral_test_public,test_public,0.6879,0.2821,0.0010,0.0024,410.6
llm_openrouter_mistral_test_public,test_public,0.6879,0.2821,0.0050,0.0121,82.6
llm_openrouter_mistral_test_public,test_public,0.6879,0.2821,0.0100,0.0240,41.6
llm_openrouter_mistral_test_public,test_public,0.6879,0.2821,0.0500,0.1138,8.8
llm_openrouter_mistral_test_public,test_public,0.6879,0.2821,0.2000,0.3788,2.6
llm_openrouter_mistral_test_public,test_public,0.6879,0.2821,0.6250,0.8026,1.2
llm_openrouter_qwen_max_test_public,test_public,0.9268,0.6282,0.0010,0.0015,678.2
llm_openrouter_qwen_max_test_public,test_public,0.9268,0.6282,0.0050,0.0074,135.9
llm_openrouter_qwen_max_test_public,test_public,0.9268,0.6282,0.0100,0.0147,68.1
llm_openrouter_qwen_max_test_public,test_public,0.9268,0.6282,0.0500,0.0721,13.9
llm_openrouter_qwen_max_test_public,test_public,0.9268,0.6282,0.2000,0.2694,3.7
llm_openrouter_qwen_max_test_public,test_public,0.9268,0.6282,0.6250,0.7109,1.4
llm_openrouter_qwen_test_public,test_public,0.9093,0.6154,0.0010,0.0015,677.1
llm_openrouter_qwen_test_public,test_public,0.9093,0.6154,0.0050,0.0074,135.7
llm_openrouter_qwen_test_public,test_public,0.9093,0.6154,0.0100,0.0147,68.0
llm_openrouter_qwen_test_public,test_public,0.9093,0.6154,0.0500,0.0722,13.9
llm_openrouter_qwen_test_public,test_public,0.9093,0.6154,0.2000,0.2697,3.7
llm_openrouter_qwen_test_public,test_public,0.9093,0.6154,0.6250,0.7112,1.4
llm_tool_augmented_test_public,test_public,0.8555,0.2564,0.0010,0.0033,300.4
llm_tool_augmented_test_public,test_public,0.8555,0.2564,0.0050,0.0165,60.6
llm_tool_augmented_test_public,test_public,0.8555,0.2564,0.0100,0.0326,30.7
llm_tool_augmented_test_public,test_public,0.8555,0.2564,0.0500,0.1494,6.7
llm_tool_augmented_test_public,test_public,0.8555,0.2564,0.2000,0.4548,2.2
llm_tool_augmented_test_public,test_public,0.8555,0.2564,0.6250,0.8476,1.2
