tool,group,split,n,median_sec_per_entry,p90_sec_per_entry,mean_sec_per_entry,trimmed_mean_sec_per_entry,max_sec_per_entry,mean_api_calls,est_prompt_tok_per_entry,est_completion_tok_per_entry,est_usd_per_1k_entries,token_basis,latency_provenance,source,crosscheck,note
DOI-only,Citation-database tools,dev_public,1119,,,0.99,,,0.4345,0.0,0.0,0.0,no LLM calls,measured (aggregate mean only; no per-entry dump),data/v1.0/baseline_results/doi_only_dev_public.json,entries_per_second 1.01408 (pinned aggregate),per-entry predictions not retained; mean recovered as 1/entries_per_second
Gemini 2.5 Pro,Zero-shot LLMs,test_public,831,10.98,20.39,13.5,12.2,125.87,1.0,600.0,80.0,3.3,assumed 600+80 per LLM call,measured (per-entry dump),results/checkpoints/llm_openrouter_gemini_pro/openrouter_google_gemini-2.5-pro.jsonl,entries_per_second 0.07409 vs pinned 0.07409 (match),no per-entry dev_public dump; dev aggregate mean is 1/0.0868 = 11.5 s
Claude Opus 4.7,Zero-shot LLMs,dev_public,1119,3.38,5.05,3.76,3.57,15.96,1.0,600.0,80.0,5.0,assumed 600+80 per LLM call,"measured (per-entry dump; timing re-run, see note)",results/llm_openrouter_claude_opus_4_7_dev_public_predictions.jsonl,entries_per_second 0.26622 vs pinned 0.24462 (DIFFERS),dev_public record behind tab:results is summary-only; timing from a later per-entry re-run of the same configuration
Gemini 2.5 Flash,Zero-shot LLMs,dev_public,1119,1.06,1.47,1.1,1.08,5.98,1.0,600.0,80.0,0.38,assumed 600+80 per LLM call,measured (per-entry dump),results/llm_openrouter_gemini_flash_dev_public_predictions.jsonl,entries_per_second 0.90619 vs pinned 0.90619 (match),
Claude Sonnet 4.6,Zero-shot LLMs,dev_public,1119,9.67,12.25,9.03,9.07,16.71,1.0,600.0,80.0,3.0,assumed 600+80 per LLM call,"measured (per-entry dump; timing re-run, see note)",results/llm_openrouter_claude_sonnet_4_6_dev_public_predictions.jsonl,entries_per_second 0.11071 vs pinned 0.17023 (DIFFERS),dev_public record behind tab:results is summary-only; timing from a later per-entry re-run of the same configuration
Llama 4 Maverick,Zero-shot LLMs,test_public,831,4.45,19.98,16.35,6.19,4361.11,1.0,600.0,80.0,0.168,assumed 600+80 per LLM call,measured (per-entry dump),results/checkpoints/llm_openrouter_llama_4_maverick_test_public/openrouter_meta-llama_llama-4-maverick.jsonl,entries_per_second 0.06117 vs pinned 0.06117 (match),"no per-entry dev_public dump; contains a ~4,361 s stall, so the mean is network-dominated"
GPT-5.4 (zero-shot),Zero-shot LLMs,dev_public,1119,2.23,2.95,3.23,2.28,780.83,1.0,600.0,80.0,1.55,assumed 600+80 per LLM call,measured (per-entry dump),results/checkpoints/llm_openai_gpt54_dev_public_v3/openai_gpt-5.4.jsonl,entries_per_second 0.31004 vs pinned 0.31004 (match),
Mistral Large,Zero-shot LLMs,dev_public,1119,3.34,4.2,4.12,3.39,380.53,1.0,600.0,80.0,1.68,assumed 600+80 per LLM call,measured (per-entry dump),results/llm_openrouter_mistral_dev_public_predictions.jsonl,entries_per_second 0.24250 vs pinned 0.24250 (match),
GPT-5.1 (zero-shot),Zero-shot LLMs,dev_public,1119,2.0,2.73,2.15,2.06,18.47,1.0,600.0,80.0,1.55,assumed 600+80 per LLM call,measured (per-entry dump),results/checkpoints/llm_openai/openai_gpt-5.1.jsonl,entries_per_second 0.46560 vs pinned 0.46560 (match),checkpoint holds dev_public and test_public together; filtered by split keys
Qwen3-235B,Zero-shot LLMs,dev_public,1119,5.15,17.57,7.8,6.67,62.96,1.0,600.0,80.0,0.168,assumed 600+80 per LLM call,measured (per-entry dump),results/llm_openrouter_qwen_dev_public_predictions.jsonl,entries_per_second 0.12823 vs pinned 0.12823 (match),
